model,f1m_mean,f1m_lo,f1m_hi,auc_mean,auc_lo,auc_hi,melrec_mean,melrec_lo,melrec_hi
B0+MLP,0.7108555483226133,0.6659879622654034,0.7504468984950011,0.9490514708972572,0.9351346869645302,0.960154146226043,0.7517771900189052,0.676464542651593,0.8208694175581592
B0+CBM,0.6938841923777431,0.6498881157398015,0.7317773527778585,0.9256394656298782,0.91268706326244,0.9376263895595716,0.8167785419249468,0.7519368421052631,0.8741501875607837
B0+ProtoPNet,0.7078575772815631,0.6626387626467473,0.7462337552761016,0.9371303890223539,0.9266287487994218,0.9470572462219308,0.6804973673252231,0.6063506036217303,0.7612363356068391
